2015-12-17 15:03:38.6926|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 323 at ICommittedFileForklift.cs:59 after blocking 0.0049059s
2015-12-17 15:03:38.6926|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 324 at ICommittedFileForklift.cs:59 after waiting 0.501668s
2015-12-17 15:03:38.6926|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 324 at ICommittedFileForklift.cs:59 after blocking 0.0050325s
2015-12-17 15:03:38.6926|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 325 at ICommittedFileForklift.cs:59 after waiting 0.5030566s
2015-12-17 15:03:38.7076|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 325 at ICommittedFileForklift.cs:59 after blocking 0.0048197s
2015-12-17 15:03:38.7076|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 326 at ICommittedFileForklift.cs:59 after waiting 0.5042576s
2015-12-17 15:03:38.7076|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 326 at ICommittedFileForklift.cs:59 after blocking 0.0050209s
2015-12-17 15:03:38.7076|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 327 at ICommittedFileForklift.cs:59 after waiting 0.5057349s
2015-12-17 15:03:38.7076|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 327 at ICommittedFileForklift.cs:59 after blocking 0.0051328s
2015-12-17 15:03:38.7076|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 328 at ICommittedFileForklift.cs:59 after waiting 0.4676537s
2015-12-17 15:03:38.7076|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 328 at ICommittedFileForklift.cs:59 after blocking 0.0048443s
2015-12-17 15:03:38.7076|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 329 at ICommittedFileForklift.cs:59 after waiting 0.4687134s
2015-12-17 15:03:38.7276|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 329 at ICommittedFileForklift.cs:59 after blocking 0.0047218s
2015-12-17 15:03:38.7276|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 330 at ICommittedFileForklift.cs:59 after waiting 0.4699094s
2015-12-17 15:03:38.7276|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 330 at ICommittedFileForklift.cs:59 after blocking 0.0049145s
2015-12-17 15:03:38.7276|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 331 at ICommittedFileForklift.cs:59 after waiting 0.4713271s
2015-12-17 15:03:38.7276|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 331 at ICommittedFileForklift.cs:59 after blocking 0.0047085s
2015-12-17 15:03:38.7276|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 332 at ICommittedFileForklift.cs:59 after waiting 0.4722102s
2015-12-17 15:03:38.7426|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 332 at ICommittedFileForklift.cs:59 after blocking 0.005181s
2015-12-17 15:03:38.7426|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 333 at ICommittedFileForklift.cs:59 after waiting 0.4736389s
2015-12-17 15:03:38.7426|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 333 at ICommittedFileForklift.cs:59 after blocking 0.0059633s
2015-12-17 15:03:38.7426|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 334 at ICommittedFileForklift.cs:59 after waiting 0.4760493s
2015-12-17 15:03:38.7426|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 334 at ICommittedFileForklift.cs:59 after blocking 0.0048594s
2015-12-17 15:03:38.7426|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 335 at ICommittedFileForklift.cs:59 after waiting 0.4771292s
